,主旨,原因,不合格原因暨檢出量詳細說明,法規限量標準,seg
1087,雞豆(雪蓮子),農藥殘留含量不符規定,檢出殘留農藥嘉磷塞1.4 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '1.4', 'ppm']"
1088,新鮮哈密瓜,農藥殘留含量不符規定,檢出殘留農藥祿芬隆0.03 ppm,依據「農藥殘留容許量標準」，農藥祿芬隆定量極限為0.01 ppm，本案不符食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥祿', '芬隆', '0.03', 'ppm']"
1089,原力維生素D3,防腐劑含量不符規定,檢出防腐劑己二烯酸1.07 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，案內產品為噴劑形態，非屬表列准用之食品範圍，本案不符合食品安全衛生管理法第18條規定。,"['己二烯', '檢出', '1.07', 'kg', '防腐']"
1090,活研D,防腐劑含量不符規定,檢出防腐劑己二烯酸1.06 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，案內產品為噴劑形態，非屬表列准用之食品範圍，本案不符合食品安全衛生管理法第18條規定。,"['己二烯', '檢出', '1.06', 'kg', '防腐']"
1091,鮮蜜瓜,農藥殘留含量不符規定,檢出殘留農藥賽芬蟎0.02 ppm,依據「農藥殘留容許量標準」，農藥賽芬蟎定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '賽芬', '0.02', 'ppm']"
1092,鮮蜜瓜,農藥殘留含量不符規定,檢出殘留農藥撲滅松0.08 ppm,依據「農藥殘留容許量標準」，農藥撲滅松定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '滅松', '0.08', 'ppm']"
1093,蘋果,農藥殘留含量不符規定,"檢出殘留農藥2,6-Diisopropylnaphthalene (2,6-DIPN) 0.02 ppm",本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Diisopropylnaphthalene', 'DIPN', '0.02', 'ppm']"
1094,蘋果,農藥殘留含量不符規定,"檢出殘留農藥2,6-Diisopropylnaphthalene (2,6-DIPN) 0.11 ppm",本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Diisopropylnaphthalene', 'DIPN', '0.11', 'ppm']"
1095,鮮葡萄,農藥殘留含量不符規定,檢出殘留農藥Pyribencarb 0.02 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Pyribencarb', '0.02', 'ppm']"
1096,小茴香粉,農藥殘留含量不符規定,檢出殘留農藥加保扶0.1 ppm、三賽唑0.5 ppm、愛殺松0.07 ppm、芬普尼0.011 ppm、亞滅培0.59 ppm、貝芬替0.52 ppm、可尼丁0.32 ppm、菲克利0.17 ppm、益達胺0.12 ppm、佈飛松0.26 ppm、賽速安0.41 ppm、陶斯松0.07 ppm、克收欣0.07 ppm、得克利0.23 ppm,依據「農藥殘留容許量標準」，農藥加保扶、三賽唑及愛殺松皆為不得檢出，芬普尼定量極限為0.002 ppm，亞滅培、貝芬替、可尼丁、菲克利、益達胺、佈飛松、賽速安、陶斯松、克收欣及得克利定量極限皆為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '0.07', '菲克', '檢出', '殘留', '農藥加', '保扶', '0.1', '三賽', '0.5', '芬普尼', '0.011', '亞滅培', '0.59', '貝芬', '0.52', '可尼丁', '0.32', '0.17', '益達胺', '0.12', '飛松', '0.26', '賽速安', '0.41', '陶斯松', '克收欣', '0.23', '克利']"
1097,力必多活力精華飲,防腐劑含量不符規定,檢出防腐劑苯甲酸0.8 g/kg、己二烯酸0.6 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，不含碳酸飲料防腐劑用量以Benzoic acid計為0.6 g/kg以下、用量以Sorbic acid計為0.5 g/kg以下，且混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值(即使用量/用量標準)總和不得大於1，本案不符合食品安全衛生管理法第18條規定。,"['kg', '己二烯', '檢出', '0.8', '0.6', '苯甲酸', '防腐']"
1098,59317 經典煙燻西班牙紅椒粉Paprika Powder Natural Smoked D.O.,農藥殘留含量不符規定,檢出殘留農藥2-Phenylphenol 0.22 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Phenylphenol', '0.22', 'ppm']"
1099,杯子,容器具-溶出試驗不符規定,"案內產品以正庚烷(25℃,1小時)溶出試驗結果，蒸發殘渣為48 ppm","依據「食品器具容器包裝衛生標準」，以聚丙烯為合成原料之塑膠類器具其溶出試驗以正庚烷(25℃,1小時)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","['庚烷', '案內產品', '25', '小時', '溶出', '試驗', '結果', '蒸發', '殘渣', '48', 'ppm']"
1100,洋甘菊(乾燥),農藥殘留含量不符規定,"檢出殘留農藥2,6-Diisopropylnaphthalene (2,6-DIPN) 0.09 ppm",本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Diisopropylnaphthalene', 'DIPN', '0.09', 'ppm']"
1101,紅豆,農藥殘留含量不符規定,檢出殘留農藥嘉磷塞2.7 ppm,依據「農藥殘留容許量標準」，農藥嘉磷塞容許量為2.0 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '2.7', 'ppm']"
1102,七甲年糕醬,甜味劑含量不符規定,檢出甜味劑糖精0.46 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用之食品範圍，本案不符合食品安全衛生管理法第18條規定。,"['檢出', '0.46', 'kg', '糖精', '甜味']"
1103,塑膠刮刀,容器具-溶出試驗不符規定,"案內產品以4%醋酸(60℃,30分鐘)、正庚烷(25℃,1小時)溶出試驗結果，蒸發殘渣值為88 ppm、11650 ppm","依據「食品器具容器包裝衛生標準」，以聚乙烯為原料之塑膠類，其溶出試驗4%醋酸(60℃,30分鐘)、正庚烷(25℃,1小時)蒸發殘渣合格標準為30 ppm以下及150 ppm以下，本案不符合食品安全衛生管理法第17條規定。","['ppm', '庚烷', '案內產品', '4%', '60', '30', '分鐘', '25', '小時', '溶出', '試驗', '結果', '蒸發', '殘渣值', '88', '11650', '醋酸']"
1104,鳳螺,重金屬含量不符規定,檢出鎘2 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘於貝類(不含殼)限量為1 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', 'mg', 'kg']"
1105,生蠔,重金屬含量不符規定,檢出鎘3 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘於貝類(不含殼)限量為 1 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', 'mg', 'kg']"
1106,紫海膽卵,重金屬含量不符規定,檢出鎘0.9 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘於其他水產動物類限量為0.3 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', '0.9', 'mg', 'kg']"
1107,黃點斑,重金屬含量不符規定,檢出甲基汞0.7 mg/kg,依據「食品中污染物質及毒素衛生標準」，甲基汞於其他魚類限量為 0.5 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出', '0.7', 'mg', 'kg', '甲基汞']"
1108,吐司抺醬,防腐劑含量不符規定,檢出防腐劑己二烯酸2.2 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，其他調味醬防腐劑用量以Sorbic Acid計為1.0 g/kg以下，本案不符合食品安全衛生管理法第18條規定。,"['己二烯', '檢出', '2.2', 'kg', '防腐']"
1109,甜豆莢,農藥殘留含量不符規定,檢出殘留農藥依瑞莫0.07 ppm、撲克拉0.31 ppm、因滅汀0.03 ppm、福賽絕0.01 ppm及護矽得0.05 ppm,依據「農藥殘留容許量標準」，農藥依瑞莫、撲克拉定量極限均為0.01 ppm、因滅汀容許量為0.02 ppm、福賽絕、護矽得均為不得檢出，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥', '依瑞莫', '0.07', '0.31', '因滅', '0.03', '福賽絕', '0.01', '及護', '矽得', '0.05', '克拉']"
1110,碗,容器具-溶出試驗不符規定,案內產品以4%醋酸(60°C/30分鐘)溶出試驗結果，蒸發殘渣為70 ppm,依據「食品器具容器包裝衛生標準」，以甲醛-三聚氰胺為合成原料之塑膠類其溶出試驗4%醋酸(60°C/30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['案內產品', '4%', '60', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣', '70', 'ppm', '醋酸']"
1111,KOBE 蝦膏粉,防腐劑含量不符規定,檢出防腐劑苯甲酸0.1 g/kg、對羥苯甲酸0.18 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列苯甲酸、對羥苯甲酸准用之食品範圍，本案不符合食品安全衛生管理法第18條規定。,"['kg', '苯甲酸', '檢出', '0.1', '0.18', '防腐']"
1112,薄荷酸辣醬混合香料,農藥殘留含量不符規定,檢出殘留農藥加保扶0.06 ppm、亞滅培1.95 ppm、克福隆0.32 ppm、益達胺0.10 ppm、佈飛松0.08 ppm及陶斯松0.91 ppm，依據業者檢附成分比例表換算農藥殘留量：加保扶(乾燥芒果0.2ppm、辣椒0.7 ppm、乾石榴籽1.5 ppm)、亞滅培(薄荷6.3 ppm、乾燥芒果7.8 ppm、辣椒21.9 ppm、胡荽23.2 ppm)、克福隆(辣椒3.6 ppm)、益達胺(辣椒1.1 ppm、薑2.1 ppm、乾石榴籽2.4 ppm)、佈飛松(乾燥芒果0.3 ppm)、陶斯松(馬芹82.7 ppm、肉豆蔻101.1 ppm、小荳蔻107.1 ppm),依據「農藥殘留容許量標準」，農藥加保扶於乾燥芒果容許量為0.1 ppm、辣椒容許量為0.4 ppm、乾石榴籽容許量為0.2 ppm，亞滅培於薑、乾石榴籽、馬芹、丁香、肉豆蔻、小荳蔻容許量為0.05 ppm、薄荷、乾燥芒果、辣椒、胡荽容許量為2.0 ppm，克福隆於薄荷、乾燥芒果、胡荽、薑、乾石榴籽、馬芹、丁香、肉豆蔻、小荳蔻容許量為0.05 ppm、辣椒容許量為1.0 ppm，益達胺於胡荽、馬芹、丁香、肉豆蔻、小荳蔻容許量為0.05 ppm、辣椒、薑容許量為0.5 ppm、乾石榴籽容許量為1.0 ppm、佈飛松於胡荽、薑、乾石榴籽、馬芹、丁香、肉豆蔻、容許量為0.05 ppm、乾燥芒果容許量為0.2 ppm、小荳蔻容許量為0.07 ppm，陶斯松於乾燥芒果、胡荽、薑、丁香容許量為0.05 ppm、辣椒、乾石榴籽容許量為0.5 ppm、薄荷容許量為0.8 ppm、馬芹、肉豆蔻容許量為5.0 ppm、小荳蔻容許量為1.0 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '乾燥', '辣椒', '芒果', '福隆', '亞滅培', '益達胺', '飛松', '陶斯松', '石榴', '胡荽', '檢出', '殘留', '農藥加', '保扶', '0.06', '1.95', '0.32', '0.10', '0.08', '0.91', '依據業者', '檢附', '比例表', '換算', '農藥', '殘留量', '加保', '0.2', '0.7', '1.5', '6.3', '7.8', '21.9', '23.2', '3.6', '1.1', '2.1', '2.4', '0.3', '82.7', '101.1', '107.1', '肉豆蔻', '薄荷', '成分']"
1113,酵母粉21-TF,防腐劑含量不符規定,檢出防腐劑對羥苯甲酸0.05 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用之食品範圍，本案不符合食品安全衛生管理法第18條規定。,"['檢出', '0.05', 'kg', '苯甲酸', '防腐']"
1114,鷹嘴豆,農藥殘留含量不符規定,檢出殘留農藥嘉磷塞0.4 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '磷塞', '0.4', 'ppm']"
1115,香蕉醬,甜味劑含量不符規定,檢出甜味劑糖精0.09 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，調味醬類之甜味劑用量為不得檢出，本案不符合食品安全衛生管理法第18條規定。,"['檢出', '0.09', 'kg', '糖精', '甜味']"
1116,起士粉,甜味劑含量不符規定,檢出甜味劑甜菊醣苷0.45 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用之食品範圍，本案不符合食品安全衛生管理法第18條規定。,"['檢出', '甜菊', '0.45', 'kg', '甜味']"
1117,高梁,農藥殘留含量不符規定,檢出殘留農藥嘉磷塞0.2 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '磷塞', '0.2', 'ppm']"
1118,冷凍去骨牛腱子肉,動物用藥殘留含量不符規定,檢出動物用藥Zilpaterol 0.002 ppm,本案不符合食品安全衛生管理法第15條有關「動物用藥殘留標準」規定。,"['檢出', '動物', '用藥', 'Zilpaterol', '0.002', 'ppm']"
1119,檸檬紅茶,農藥殘留含量不符規定,檢出殘留農藥Diphenylamine 0.06 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Diphenylamine', '0.06', 'ppm']"
1120,薄荷綠茶,農藥殘留含量不符規定,檢出殘留農藥Diphenylamine 0.08 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Diphenylamine', '0.08', 'ppm']"
1121,葡萄,農藥殘留含量不符規定,檢出殘留農藥Pyribencarb 0.02 ppm。,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Pyribencarb', '0.02', 'ppm']"
1122,塑膠碟,容器具-溶出試驗不符規定,案內產品以4%醋酸(95℃，30分鐘)溶出試驗結果，蒸發殘渣值51 ppm,依據「食品器具容器包裝衛生標準」，以甲醛-三聚氰胺為合成原料之塑膠類，其溶出試驗4%醋酸(95℃，30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['案內產品', '4%', '95', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣值', '51', 'ppm', '醋酸']"
1123,蘋果,農藥殘留含量不符規定,"檢出殘留農藥2,6-DIPN 0.10 ppm",本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'DIPN', '0.10', 'ppm']"
1124,大白菜,農藥殘留含量不符規定,檢出殘留農藥得克利0.08 ppm、滅必蝨0.05 ppm,依據「農藥殘留容許量標準」，農藥得克利容許量為0.05 ppm、滅必蝨為不得檢出，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥', '0.08', '滅必蝨', '0.05', '克利']"
1125,蛋塔杯,容器具-溶出試驗不符規定,"案內產品以4%醋酸(95℃,30分鐘)溶出試驗結果，蒸發殘渣為 54 ppm","依據「食品器具容器包裝衛生標準」，其內部材質與內容物直接接觸之部分為聚對苯二甲酸乙二酯者其溶出試驗以4%醋酸(95℃,30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","['案內產品', '4%', '95', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣', '54', 'ppm', '醋酸']"
1126,哈密瓜,農藥殘留含量不符規定,檢出殘留農藥畢達本0.04 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '畢達本', '0.04', 'ppm']"
1127,冷凍青花菜1-3cm,農藥殘留含量不符規定,檢出殘留農藥克美素0.02 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥克美素', '0.02', 'ppm']"
1128,炸醬年糕醬,防腐劑含量不符規定,檢出防腐劑對羥苯甲酸乙酯0.091 g/kg，依業者說明文件其添加於酸水解醬油(醬油之使用比例佔產品整體6%)，經換算對羥苯甲酸乙酯於醬油之濃度為1.517 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，對羥苯甲酸乙酯於醬油容許量為0.25 g/kg，本案不符合食品安全衛生管理法第18條規定。,"['kg', '醬油', '乙酯', '苯甲酸', '檢出', '0.091', '依業者', '說明', '佔產品', '整體', '6%', '經換算', '濃度', '1.517', '防腐', '水解', '添加', '文件', '比例', '使用']"
1129,速凍蕃茄,農藥殘留含量不符規定,檢出殘留農藥克美素0.03 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥克美素', '0.03', 'ppm']"
1130,番茄萃取物,防腐劑含量不符規定,檢出防腐劑對羥苯甲酸0.49 g/kg、對羥苯甲酸乙酯4.618 g/kg、對羥苯甲酸丙酯0.006 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，案內產品非前揭防腐劑表列准用之食品範圍，且業者未能提具相關佐證資料合理說明，本案不符合食品安全衛生管理法第18條規定。,"['kg', '苯甲酸', '檢出', '0.49', '4.618', '丙酯', '0.006', '乙酯', '防腐']"
1131,冷凍雞腿,動物用藥殘留含量不符規定,檢出硝基砆喃代謝物(SC)Semicarbazide 2 ppb,本案不符合食品安全衛生管理法第15條有關「動物用藥殘留標準」規定。,"['檢出', '喃代', '謝物', 'SC', 'Semicarbazide', 'ppb', '硝基']"
1132,白蝦肉,重金屬含量不符規定,檢出鎘0.6 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘於甲殼類之可食肌肉(包括附肢肌肉)限量為0.5 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', '0.6', 'mg', 'kg']"
1133,蓋杯,容器具-溶出試驗不符規定,檢出重金屬鉛10 ppm,依據「食品器具容器包裝衛生標準」，玻璃、陶瓷器、施琺瑯之器具、容器-深2.5cm 以上且容量1.1公升以下者，重金屬鉛之合格標準為5 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['檢出', '屬鉛', '10', 'ppm', '重金']"
1134,冷凍旗魚卵,重金屬含量不符規定,檢出重金屬鎘0.39 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘(其他魚類)限量為0.05 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出', '屬鎘', '0.39', 'mg', 'kg', '重金']"
1135,印度達瓦牌 : 私房香米,農藥殘留含量不符規定,檢出殘留農藥賽速安0.2 ppm,依據「農藥殘留容許量標準」，農藥賽速安容許量為0.1 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥賽', '速安', '0.2', 'ppm']"
1136,冷凍雞腿,動物用藥殘留含量不符規定,檢出動物用藥乃卡巴精0.3 ppm,依據「動物用藥殘留標準」，乃卡巴精(雞-肌肉)殘留容許量為0.2 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '動物', '用藥', '0.3', 'ppm', '卡巴']"
1137,SSUEIM 砧板套組,容器具-溶出試驗不符規定,"案內產品SSUEIM砧板套組(灰)(粉紅)(米白)以正庚烷(25℃,1小時)溶出試驗結果，蒸發殘渣分別為62 ppm、55 ppm及52 ppm","依據「食品器具容器包裝衛生標準」，以聚丙烯為合成原料之塑膠類器具其溶出試驗以正庚烷(25℃,1小時)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","['ppm', '庚烷', '案內產品', 'SSUEIM', '套組', '粉紅', '米白', '以正', '25', '小時', '溶出', '試驗', '結果', '蒸發', '殘渣', '分別', '62', '55', '52', '砧板']"
1138,養生甘露錠,抗氧化劑含量不符規定,檢出抗氧化劑二丁基羥基甲苯(BHT)0.02 g/kg，,惟業者未能提具相關佐證資料合理說明，本案不符合食品安全衛生管理法第21條第1項規定。,"['檢出', '羥基', 'BHT', '0.02', 'kg', '丁基', '甲苯', '抗氧化']"
1139,冷凍青蔥,農藥殘留含量不符規定,檢出殘留農藥氟派瑞0.02 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '派瑞', '0.02', 'ppm']"
1140,紫蘇葉,農藥殘留含量不符規定,檢出殘留農藥依殺蟎0.58 ppm、諾伐隆0.1 ppm、氟大滅0.12 ppm,依據「農藥殘留容許量標準」，農藥依殺蟎定量極限為0.01 ppm，諾伐隆、氟大滅為不得檢出，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥', '依殺', '0.58', '諾伐隆', '0.1', '氟大滅', '0.12']"
1141,蘋果,農藥殘留含量不符規定,"檢出殘留農藥2,6-Diisopropylnaphthalene (2,6-DIPN) 0.02 ppm",本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Diisopropylnaphthalene', 'DIPN', '0.02', 'ppm']"
1142,蘋果,農藥殘留含量不符規定,"檢出殘留農藥2,6-Diisopropylnaphthalene(2,6-DIPN) 0.02 ppm",本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Diisopropylnaphthalene', 'DIPN', '0.02', 'ppm']"
1143,蘋果,農藥殘留含量不符規定,"檢出殘留農藥2,6-Diisopropylnaphthalene(2,6-DIPN) 0.03 ppm",本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Diisopropylnaphthalene', 'DIPN', '0.03', 'ppm']"
1144,蘋果,農藥殘留含量不符規定,"檢出殘留農藥2,6-Diisopropylnaphthalene(2,6-DIPN) 0.02 ppm",本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Diisopropylnaphthalene', 'DIPN', '0.02', 'ppm']"
1145,蘋果,農藥殘留含量不符規定,"檢出殘留農藥2,6-Diisopropylnaphthalene (2,6-DIPN) 0.01 ppm",本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Diisopropylnaphthalene', 'DIPN', '0.01', 'ppm']"
1146,鮮蘋果,農藥殘留含量不符規定,"檢出殘留農藥2,6-Diisopropylnaphthalene (2,6-DIPN) 0.11 ppm",本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Diisopropylnaphthalene', 'DIPN', '0.11', 'ppm']"
1147,蘋果,農藥殘留含量不符規定,"檢出殘留農藥2,6-Diisopropylnaphthalene (2,6-DIPN) 0.03 ppm",本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Diisopropylnaphthalene', 'DIPN', '0.03', 'ppm']"
1148,月桂葉 (DAUN SALAM),重金屬含量不符規定,檢出重金屬鉛2.2 mg/kg,依據「食品中污染物質及毒素衛生標準」，鉛於香草植物及香辛植物類限量為0.3 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出', '屬鉛', '2.2', 'mg', 'kg', '重金']"
1149,番茄火鍋湯底(全素),防腐劑含量不符規定,檢出防腐劑苯甲酸0.05 g/kg、己二烯酸0.18 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用之食品範圍(產品包裝標示經高溫殺菌，屬罐頭食品)，本案不符合食品安全衛生管理法第18條規定。,"['kg', '己二烯', '檢出', '0.05', '0.18', '苯甲酸', '防腐']"
1150,青仁黑豆,農藥殘留含量不符規定,檢出殘留農藥克美素0.07 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥克美素', '0.07', 'ppm']"
1151,番茄,甜味劑含量不符規定,案內產品檢出甜味劑蔗糖素,依現貨產品型態係供消費者生鮮食用，本應無需使用甜味劑，產品如使用甜味劑增強甜味，可能使消費者無法辨識產品之品質，或有誤導消費者產品為未添加食品添加物之原型態產品，故未准許添加甜味劑，本案不符合食品安全衛生管理法第18條規定。,"['案內產品', '檢出', '甜味', '蔗糖']"
1152,刺槐豆膠,農藥殘留含量不符規定,檢出殘留農藥環氧乙烷(Ethylene Oxide) 0.091 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '環氧', 'Ethylene', 'Oxide', '0.091', 'ppm', '乙烷']"
1153,冷凍海鱺,重金屬含量不符規定,檢出重金屬甲基汞1.1 mg/kg,依據「食品中污染物質及毒素衛生標準」，甲基汞(其他魚類)限量為0.5 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出', '1.1', 'mg', 'kg', '甲基汞', '重金']"
1154,初乳奶粉,防腐劑含量不符規定,檢出防腐劑苯甲酸0.04 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用之食品範圍，且業者未能提具相關佐證資料合理說明 ，本案不符合食品安全衛生管理法第18條規定。,"['檢出', '0.04', 'kg', '苯甲酸', '防腐']"
1155,一番5入包麵-芝麻風味,農藥殘留含量不符規定,案內產品之「湯粉包」檢出殘留農藥環氧乙烷(ethylene oxide) 2.438 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['案內產品', '湯粉', '檢出', '殘留', '農藥', '環氧', 'ethylene', 'oxide', '2.438', 'ppm', '乙烷']"
1156,可掛式二合一附刀雙面砧板 粉紅,容器具-溶出試驗不符規定,"案內產品以4%醋酸(60℃,30分鐘)溶出試驗結果，蒸發殘渣為56 ppm","依據「食品器具容器包裝衛生標準」，其內部材質與內容物直接接觸之部分為聚丙烯類者其溶出試驗以4%醋酸(60℃,30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","['案內產品', '4%', '60', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣', '56', 'ppm', '醋酸']"
1157,可掛式二合一附刀雙面砧板 藍,容器具-溶出試驗不符規定,"案內產品以4%醋酸(60℃,30分鐘)溶出試驗結果，蒸發殘渣為86 ppm","依據「食品器具容器包裝衛生標準」，其內部材質與內容物直接接觸之部分為聚丙烯類者其溶出試驗以4%醋酸(60℃,30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","['案內產品', '4%', '60', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣', '86', 'ppm', '醋酸']"
1158,蘋果,農藥殘留含量不符規定,"檢出殘留農藥2,6-Diisopropylnaphthalene (2,6-DIPN) 0.03 ppm",本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Diisopropylnaphthalene', 'DIPN', '0.03', 'ppm']"
1159,蘋果,農藥殘留含量不符規定,"檢出殘留農藥2,6-Diisopropylnaphthalene (2,6-DIPN) 0.03 ppm",本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Diisopropylnaphthalene', 'DIPN', '0.03', 'ppm']"
1160,蘋果,農藥殘留含量不符規定,"檢出殘留農藥2,6-Diisopropylnaphthalene (2,6-DIPN) 0.01 ppm",本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Diisopropylnaphthalene', 'DIPN', '0.01', 'ppm']"
1161,蘋果,農藥殘留含量不符規定,"檢出殘留農藥2,6-Diisopropylnaphthalene (2,6-DIPN) 0.01 ppm",本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Diisopropylnaphthalene', 'DIPN', '0.01', 'ppm']"
1162,蘋果,農藥殘留含量不符規定,"檢出殘留農藥2,6-Diisopropylnaphthalene (2,6-DIPN) 0.02 ppm",本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Diisopropylnaphthalene', 'DIPN', '0.02', 'ppm']"
